"INCP Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Total",
"Baulkham Hills (East)",858,980,1114,1125,1165,1157,1298,1553,1228,1162,940,1630,651,14868,
"Baulkham Hills (West) - Bella Vista",880,994,981,850,1056,967,1150,1332,1038,981,748,1481,1000,13464,
"Glenhaven",241,310,309,374,371,345,354,380,317,293,242,380,450,4373,
"West Pennant Hills",607,587,538,488,554,618,667,898,695,664,438,927,1007,8679,
"Castle Hill - Central",268,311,381,336,429,369,464,513,393,378,295,578,311,5020,
"Castle Hill - East",247,253,271,452,330,277,248,322,212,203,152,323,303,3596,
"Castle Hill - North",479,635,542,529,636,611,709,761,583,550,410,822,712,7978,
"Castle Hill - South",393,434,424,406,448,523,508,664,522,452,353,669,460,6250,
"Castle Hill - West",209,236,202,204,228,234,254,346,248,255,230,433,319,3390,
"Cherrybrook",846,915,955,838,864,893,1002,1182,923,873,696,1454,1064,12498,
"Kellyville",900,934,977,855,984,1104,1296,1563,1216,1229,901,1746,977,14700,
"Dural - Kenthurst - Wisemans Ferry",813,1010,1136,1135,1226,1096,1275,1351,1011,936,667,1136,1145,13949,
"Galston - Laughtondale",193,245,290,299,334,305,284,349,266,252,174,254,263,3507,
"Bilpin - Colo - St Albans",79,158,193,174,174,159,167,205,109,95,79,77,40,1707,
"Kurrajong Heights - Ebenezer",748,999,1132,1221,1222,1320,1607,1760,1212,1025,754,997,438,14433,
"Pitt Town - McGraths Hill",320,455,528,561,650,630,729,815,621,548,367,499,204,6910,
"Rouse Hill - Beaumont Hills",800,848,836,839,985,1005,1210,1488,1161,1181,959,1680,899,13891,
"Blacktown (East) - Kings Park",471,869,1046,1041,871,1131,1414,1445,858,605,368,415,94,10641,
"Blacktown (North) - Marayong",552,1053,1397,1228,1024,1246,1437,1452,855,559,364,405,102,11662,
"Doonside - Woodcroft",749,1304,1420,1273,1128,1423,1821,1770,1200,820,559,648,144,14263,
"Lalor Park - Kings Langley",918,1327,1584,1452,1353,1478,1796,1898,1298,1107,707,1054,351,16327,
"Seven Hills - Toongabbie",775,1348,1592,1370,1270,1490,1820,1856,1202,977,649,777,212,15331,
"Blacktown (South)",429,789,821,719,665,834,1000,953,583,438,262,287,72,7840,
"Blacktown (West)",517,913,1143,1006,908,1030,1304,1231,778,574,374,346,87,10218,
"Glenwood",632,736,658,635,689,779,947,1149,894,796,673,1064,409,10049,
"Parklea - Kellyville Ridge",876,990,1111,1033,1174,1329,1756,2187,1847,1746,1374,2387,941,18752,
"Riverstone - Marsden Park",503,680,904,917,923,981,1144,1356,968,859,565,780,269,10847,
"Acacia Gardens",123,135,159,138,153,185,258,323,261,222,157,240,59,2414,
