"DTWP - 1 Digit Level","Over 0 km to less than 2.5 km","2.5 km to less than 10 km","10 km to less than 30 km","30 km to less than 50 km","50 km to less than 250 km","250 km and over","Total",
"Baulkham Hills (East)",521,3391,4497,1614,50,37,10114,
"Baulkham Hills (West) - Bella Vista",660,3068,3746,1869,61,45,9451,
"Glenhaven",97,829,1169,445,27,6,2581,
"West Pennant Hills",120,1353,3821,383,44,32,5752,
"Castle Hill - Central",391,851,1417,708,28,22,3415,
"Castle Hill - East",77,445,1122,279,12,12,1947,
"Castle Hill - North",398,1363,2368,983,46,30,5202,
"Castle Hill - South",374,1083,1939,775,25,21,4223,
"Castle Hill - West",128,633,1117,543,17,17,2458,
"Cherrybrook",384,1720,5349,824,55,61,8387,
"Kellyville",388,3175,4805,2299,79,57,10808,
"Dural - Kenthurst - Wisemans Ferry",501,1461,4267,1913,345,46,8537,
"Galston - Laughtondale",136,385,946,498,58,15,2034,
"Bilpin - Colo - St Albans",24,64,157,284,373,3,911,
"Kurrajong Heights - Ebenezer",260,1052,3956,2743,1412,56,9466,
"Pitt Town - McGraths Hill",316,941,2058,810,354,29,4509,
"Rouse Hill - Beaumont Hills",427,2462,5017,2414,117,63,10503,
"Blacktown (East) - Kings Park",657,1826,3113,1554,51,38,7238,
"Blacktown (North) - Marayong",386,2069,3339,1473,46,39,7353,
"Doonside - Woodcroft",307,2427,4429,2310,69,45,9579,
"Lalor Park - Kings Langley",562,3545,4441,1918,62,39,10561,
"Seven Hills - Toongabbie",606,3393,4300,1808,54,44,10191,
"Blacktown (South)",442,1433,2211,845,15,28,4966,
"Blacktown (West)",433,1800,3118,1306,46,32,6730,
"Glenwood",408,2044,3330,1701,48,50,7579,
"Parklea - Kellyville Ridge",604,3589,6538,3749,120,93,14689,
"Riverstone - Marsden Park",452,1266,3799,1879,122,43,7567,
"Acacia Gardens",67,541,872,420,13,10,1920,
"Quakers Hill",272,2920,4930,2631,81,48,10888,
"Bidwill - Hebersham - Emerton",289,1357,2625,966,68,27,5328,
"Glendenning - Dean Park",197,890,1748,765,35,23,3645,
"Hassall Grove - Plumpton",516,2066,4295,2074,100,34,9081,
