"HEAP - 1 Digit Level","Secondary Education - Years 10 and above","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Total",
"Baulkham Hills (East)",4768,1809,414,4014,1915,2187,3,955,693,16766,
"Baulkham Hills (West) - Bella Vista",4632,1571,346,3821,1885,1822,0,708,660,15450,
"Glenhaven",1496,289,127,1097,650,653,4,270,220,4802,
"West Pennant Hills",2843,1194,262,2926,1033,841,0,471,456,10025,
"Castle Hill - Central",1668,607,132,1495,681,637,7,265,222,5710,
"Castle Hill - East",1229,407,105,1048,443,348,6,278,181,4041,
"Castle Hill - North",2725,877,239,2210,1099,1035,6,466,420,9087,
"Castle Hill - South",2032,734,196,1922,854,768,0,322,353,7176,
"Castle Hill - West",1209,457,73,1025,444,359,0,178,174,3921,
"Cherrybrook",4051,1816,468,4148,1655,1145,3,712,594,14579,
"Kellyville",5324,1463,362,3889,2018,2182,5,896,722,16859,
"Dural - Kenthurst - Wisemans Ferry",5015,849,304,2898,1794,2841,14,1166,769,15652,
"Galston - Laughtondale",1175,228,90,716,500,753,0,280,182,3929,
"Bilpin - Colo - St Albans",599,79,38,210,201,479,4,147,76,1835,
"Kurrajong Heights - Ebenezer",5159,488,298,1854,1823,4223,14,1448,611,15920,
"Pitt Town - McGraths Hill",2694,172,99,756,782,2064,0,743,301,7610,
"Rouse Hill - Beaumont Hills",5097,1157,317,3534,1919,2402,12,911,590,15934,
"Blacktown (East) - Kings Park",4061,1092,161,2321,1327,1712,15,1035,545,12264,
"Blacktown (North) - Marayong",4946,677,129,1930,1250,2112,15,1510,629,13197,
"Doonside - Woodcroft",6112,1014,197,3362,1503,2094,25,1508,675,16482,
"Lalor Park - Kings Langley",6502,951,311,2806,1873,3164,19,1675,831,18121,
"Seven Hills - Toongabbie",6271,1249,239,2992,1750,2603,16,1705,737,17559,
"Blacktown (South)",3466,492,102,1392,875,1298,12,878,402,8914,
"Blacktown (West)",4411,635,131,1822,1146,1811,10,1213,584,11761,
"Glenwood",3976,1171,196,2809,1252,1346,5,640,485,11884,
"Parklea - Kellyville Ridge",6306,2235,443,5537,2558,2759,5,998,742,21583,
"Riverstone - Marsden Park",4070,704,162,2018,1121,2211,13,1285,515,12108,
"Acacia Gardens",862,227,55,647,298,418,0,146,112,2766,
"Quakers Hill",5589,1258,310,3340,1824,2550,13,1023,633,16542,
"Bidwill - Hebersham - Emerton",5799,149,46,682,740,1797,38,2030,577,11852,
"Glendenning - Dean Park",2280,256,62,897,594,997,4,511,238,5836,
"Hassall Grove - Plumpton",6208,499,131,2358,1418,2316,8,1213,612,14755,
"Lethbridge Park - Tregear",5907,434,77,1150,927,2002,37,1976,483,12991,
"Mount Druitt - Whalan",6190,681,123,2047,1299,2109,25,1987,868,15325,
