"RNTRD Rent (weekly) Ranges","$1-$74","$75-$99","$950 and over","$850-$949","$750-$849","$650-$749","$550-$649","$450-$549","$425-$449","$400-$424","$375-$399","$350-$374","$325-$349","$300-$324","$275-$299","$250-$274","$225-$249","$200-$224","$175-$199","$150-$174","$125-$149","$100-$124","Total",
"Baulkham Hills (East)",6,5,9,3,20,99,426,722,69,71,25,30,12,24,8,21,4,16,8,14,8,13,1604,
"Baulkham Hills (West) - Bella Vista",0,0,40,45,90,147,201,150,28,34,6,18,9,12,6,9,6,9,0,0,15,6,839,
"Glenhaven",0,0,12,7,18,23,23,10,0,3,0,4,0,3,3,0,0,0,0,0,4,3,114,
"West Pennant Hills",0,0,49,24,37,63,69,46,0,8,4,3,0,5,0,7,7,6,3,13,3,7,352,
"Castle Hill - Central",0,0,8,7,32,98,229,266,15,21,4,8,4,11,4,7,0,7,0,6,3,0,722,
"Castle Hill - East",0,5,10,19,28,23,21,12,0,0,0,0,3,0,9,7,6,23,12,0,18,16,218,
"Castle Hill - North",0,7,25,43,54,96,133,114,7,22,0,11,3,5,6,5,0,5,0,9,0,10,570,
"Castle Hill - South",0,0,12,9,23,64,262,220,8,26,6,8,0,9,8,4,3,4,0,0,0,0,658,
"Castle Hill - West",0,0,18,25,22,43,48,23,0,3,3,0,0,6,0,3,0,0,0,0,0,0,204,
"Cherrybrook",0,7,32,62,119,205,203,69,6,10,5,7,5,12,10,9,0,7,0,4,0,5,772,
"Kellyville",0,0,27,45,99,293,427,110,8,15,9,13,3,18,3,17,0,3,0,0,0,3,1094,
"Dural - Kenthurst - Wisemans Ferry",7,0,44,26,41,84,111,117,14,57,24,24,17,35,15,27,4,26,9,20,8,14,717,
"Galston - Laughtondale",3,0,12,6,5,13,36,30,8,16,4,19,0,15,4,10,0,9,0,4,0,0,187,
"Bilpin - Colo - St Albans",6,3,5,0,0,3,0,9,0,9,0,7,0,10,0,5,5,8,6,6,0,9,83,
"Kurrajong Heights - Ebenezer",11,0,9,3,12,34,54,140,43,81,37,59,10,51,22,31,16,47,18,17,3,3,714,
"Pitt Town - McGraths Hill",0,0,8,10,11,22,77,79,12,41,16,30,8,24,11,34,8,18,4,0,0,7,422,
"Rouse Hill - Beaumont Hills",0,0,21,31,109,323,358,124,4,19,10,20,10,26,5,17,13,8,4,14,0,0,1115,
"Blacktown (East) - Kings Park",33,17,3,5,0,8,43,338,114,529,434,396,167,153,43,42,20,54,27,54,24,70,2583,
"Blacktown (North) - Marayong",27,30,0,0,4,14,43,347,120,322,188,207,59,78,33,59,31,70,40,84,37,156,1950,
"Doonside - Woodcroft",32,33,4,0,0,19,68,260,106,253,134,187,66,150,40,63,40,106,60,118,69,219,2035,
"Lalor Park - Kings Langley",64,54,3,0,5,29,122,330,128,267,181,180,65,77,40,70,47,98,40,101,50,265,2227,
