"CACF Count of All Children in Family","One child in family","Two children in family","Three children in family","Four children in family","Five children in family","Six or more children in family","Total",
"Baulkham Hills (East)",1792,2027,534,95,13,7,4463,
"Baulkham Hills (West) - Bella Vista",1311,1887,600,116,14,9,3933,
"Glenhaven",371,453,212,40,12,4,1095,
"West Pennant Hills",849,1156,383,77,13,3,2476,
"Castle Hill - Central",596,615,193,38,10,0,1456,
"Castle Hill - East",268,475,118,25,0,0,888,
"Castle Hill - North",829,976,369,82,15,0,2273,
"Castle Hill - South",690,799,257,62,7,3,1826,
"Castle Hill - West",352,527,174,33,3,3,1097,
"Cherrybrook",1389,1839,503,96,21,9,3857,
"Kellyville",1522,2224,792,180,33,15,4773,
"Dural - Kenthurst - Wisemans Ferry",1158,1485,769,204,47,21,3680,
"Galston - Laughtondale",324,345,157,47,8,4,881,
"Bilpin - Colo - St Albans",144,129,46,22,6,8,347,
"Kurrajong Heights - Ebenezer",1405,1536,667,180,31,15,3840,
"Pitt Town - McGraths Hill",676,759,374,92,14,10,1922,
"Rouse Hill - Beaumont Hills",1355,2207,874,201,43,8,4685,
"Blacktown (East) - Kings Park",1504,1018,292,82,26,26,2946,
"Blacktown (North) - Marayong",1446,1256,471,163,43,21,3399,
"Doonside - Woodcroft",1882,1736,622,203,78,27,4543,
"Lalor Park - Kings Langley",1850,1903,625,169,40,14,4603,
"Seven Hills - Toongabbie",1835,1883,568,132,35,11,4461,
"Blacktown (South)",1047,893,320,95,27,19,2406,
"Blacktown (West)",1232,1111,407,161,37,28,2965,
"Glenwood",1058,1659,538,108,26,10,3406,
"Parklea - Kellyville Ridge",2168,3197,936,238,40,9,6586,
"Riverstone - Marsden Park",1316,1289,439,125,41,14,3223,
"Acacia Gardens",288,396,102,23,0,0,818,
"Quakers Hill",1774,2088,658,171,40,12,4747,
"Bidwill - Hebersham - Emerton",1384,1027,586,306,102,67,3470,
"Glendenning - Dean Park",636,699,278,86,11,12,1726,
"Hassall Grove - Plumpton",1428,1698,767,218,60,38,4212,
"Lethbridge Park - Tregear",1467,1204,635,285,118,72,3784,
"Mount Druitt - Whalan",1679,1347,742,322,90,81,4265,
"Prospect Reservoir",0,0,0,0,0,0,0,
"Rooty Hill - Minchinbury",1527,1525,679,227,65,31,4054,
"Banksmeadow",0,0,0,0,0,0,0,
"Botany",816,845,252,33,9,0,1953,
"Mascot - Eastlakes",1732,1459,395,62,12,6,3667,
"Pagewood - Hillsdale - Daceyville",847,778,249,54,3,0,1938,
"Port Botany Industrial",0,0,0,0,0,0,0,
"Sydney Airport",0,0,0,0,0,0,0,
"Marrickville",1860,1325,328,91,21,4,3624,
"Petersham - Stanmore",1193,921,216,50,7,0,2391,
"Sydenham - Tempe - St Peters",509,440,97,23,8,0,1076,
"Darlinghurst",328,145,20,3,0,0,496,
"Erskineville - Alexandria",836,561,77,7,0,0,1483,
"Glebe - Forest Lodge",993,562,128,13,3,3,1704,
"Newtown - Camperdown - Darlington",978,701,132,12,4,0,1828,
"Potts Point - Woolloomooloo",554,216,30,4,3,0,804,
"Pyrmont - Ultimo",1012,444,92,6,0,0,1542,
"Redfern - Chippendale",755,386,72,13,0,0,1223,
"Surry Hills",505,222,43,3,0,0,779,
"Sydney - Haymarket - The Rocks",927,348,31,11,0,0,1313,
"Waterloo - Beaconsfield",1751,865,170,28,9,0,2823,
"Bondi - Tamarama - Bronte",992,875,293,44,4,4,2211,
"Bondi Beach - North Bondi",1076,963,296,41,9,5,2391,
"Bondi Junction - Waverly",972,818,226,42,4,8,2065,
"Centennial Park",0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",1375,1133,445,78,13,3,3045,
"Dover Heights",719,751,311,49,7,3,1836,
"Paddington - Moore Park",794,652,164,31,0,0,1635,
"Rose Bay - Vaucluse - Watsons Bay",706,798,368,81,9,0,1962,
"Woollahra",484,391,94,18,0,0,990,
"Coogee - Clovelly",1527,1479,420,63,5,0,3491,
"Malabar - La Perouse - Chifley",1599,1633,537,99,11,6,3893,
"Kensington (NSW)",598,503,150,28,5,3,1288,
"Kingsford",857,725,207,27,4,0,1822,
"Maroubra - North",607,699,210,26,3,0,1542,
"Maroubra - South",810,622,181,37,8,4,1665,
"Maroubra - West",664,666,182,30,8,0,1544,
"Randwick - North",1108,909,232,35,0,0,2275,
"Randwick - South",794,653,165,27,0,0,1643,
"Bass Hill - Georges Hall",1390,1365,791,313,89,44,3996,
"Chullora",70,51,22,8,0,0,152,
"Condell Park",719,751,419,177,49,15,2134,
"Greenacre - Mount Lewis",1495,1500,1029,546,166,80,4815,
"Padstow",1254,1199,395,90,27,6,2979,
"Panania - Milperra - Picnic Point",1846,2068,766,179,28,19,4887,
"Revesby",1198,1182,438,119,26,11,2979,
"Yagoona - Birrong",1387,1338,663,281,74,40,3780,
"Bankstown - North",1280,1002,421,166,30,14,2921,
"Bankstown - South",1140,984,438,160,68,29,2817,
"Belmore - Belfield",1476,1271,481,180,46,15,3471,
"Canterbury (South) - Campsie",2666,1732,509,145,22,11,5084,
"Kingsgrove (North) - Earlwood",1767,1768,597,147,23,18,4320,
"Punchbowl",1356,1189,748,340,108,58,3793,
"Roselands",973,981,409,152,24,13,2567,
"Lakemba",1146,999,499,207,41,37,2925,
"Wiley Park",789,615,269,113,29,16,1829,
"Hurstville",1873,1377,363,110,19,8,3749,
"Mortdale - Penshurst",1885,1717,448,88,15,9,4164,
"Narwee - Beverly Hills",1109,1001,277,86,18,5,2499,
"Oatley - Hurstville Grove",921,998,325,65,13,0,2326,
"Peakhurst - Lugarno",1228,1373,499,118,27,8,3247,
"Riverwood",896,693,224,57,12,13,1890,
"South Hurstville - Blakehurst",1768,1604,578,133,20,10,4109,
"Arncliffe - Bardwell Valley",1391,865,362,142,39,8,2803,
"Bexley",2008,1739,598,183,36,10,4576,
"Kingsgrove (South) - Bardwell Park",935,971,317,70,17,3,2314,
"Kogarah",928,675,162,27,3,0,1799,
"Kogarah Bay - Carlton - Allawah",1303,1065,308,62,13,0,2758,
"Monterey - Brighton-le-Sands - Kyeemagh",1102,851,255,47,5,6,2274,
"Rockdale - Banksia",1495,1020,266,77,15,5,2872,
"Sans Souci - Ramsgate",1180,1037,323,68,8,4,2621,
"Concord - Mortlake - Cabarita",1589,1558,503,95,13,3,3761,
"Concord West - North Strathfield",1842,1314,311,51,7,3,3520,
"Drummoyne - Rodd Point",1176,1245,354,45,5,0,2831,
"Five Dock - Abbotsford",1629,1363,334,48,3,0,3373,
"Balmain",1007,936,241,36,3,0,2218,
"Leichhardt - Annandale",1768,1694,374,48,4,0,3877,
"Lilyfield - Rozelle",917,924,197,20,0,0,2049,
"Ashfield",1848,1133,235,49,3,0,3273,
"Burwood - Croydon",1727,1280,347,70,14,0,3444,
"Canterbury (North) - Ashbury",820,716,203,37,9,0,1788,
"Croydon Park - Enfield",1324,1224,399,86,23,9,3064,
"Dulwich Hill - Lewisham",1165,984,210,36,11,4,2404,
"Haberfield - Summer Hill",921,921,250,37,5,3,2142,
"Homebush",1261,906,181,43,6,4,2395,
"Strathfield",1630,1377,473,131,37,14,3654,
"Strathfield South",277,300,92,17,4,0,693,
"Chatswood (East) - Artarmon",2388,1798,405,55,8,0,4652,
"Chatswood (West) - Lane Cove North",1639,1328,323,47,0,0,3342,
"Lane Cove - Greenwich",1710,1874,678,114,10,5,4394,
"St Leonards - Naremburn",700,555,109,10,0,0,1367,
"Willoughby - Castle Cove - Northbridge",1635,2208,824,113,12,4,4790,
"Asquith - Mount Colah",1333,1587,549,107,9,5,3585,
"Berowra - Brooklyn - Cowan",775,994,380,81,9,5,2245,
"Normanhurst - Thornleigh - Westleigh",1199,1616,539,104,16,6,3484,
"Hornsby - East",1202,716,112,12,5,0,2050,
"Hornsby - West",843,834,222,40,6,0,1959,
"Waitara - Wahroonga (West)",899,655,136,22,4,0,1723,
"Gordon - Killara",1584,1744,604,100,16,3,4059,
"Lindfield - Roseville",1455,1953,758,144,5,4,4322,
"Pymble",1069,1481,536,112,18,8,3222,
"St Ives",1411,1808,591,93,14,0,3925,
"Turramurra",1162,1572,560,79,13,3,3393,
"Wahroonga (East) - Warrawee",1075,1430,513,129,15,5,3180,
"Cremorne - Cammeray",1216,1076,229,38,3,0,2563,
"Crows Nest - Waverton",1243,763,134,18,4,0,2161,
"Mosman",1750,1781,666,121,13,0,4327,
"Neutral Bay - Kirribilli",1025,621,127,19,3,0,1794,
"North Sydney - Lavender Bay",618,324,60,17,0,0,1019,
"Balgowlah - Clontarf - Seaforth",1229,1778,655,93,7,0,3769,
"Manly - Fairlight",1218,1094,303,39,0,0,2658,
"Avalon - Palm Beach",715,866,347,79,9,3,2018,
"Bayview - Elanora Heights",611,796,285,50,7,0,1747,
"Newport - Bilgola",844,1049,376,67,5,0,2338,
"Warriewood - Mona Vale",1534,1915,645,131,11,0,4240,
"Beacon Hill - Narraweena",912,1144,405,75,11,0,2554,
"Cromer",463,640,215,32,0,5,1358,
"Dee Why - North Curl Curl",1933,1497,407,79,9,0,3919,
"Forestville - Killarney Heights",748,1162,440,64,11,3,2429,
"Frenchs Forest - Belrose",1501,2258,819,147,9,3,4741,
"Freshwater - Brookvale",1331,1400,452,74,14,3,3278,
"Manly Vale - Allambie Heights",1080,1415,495,80,10,7,3087,
"Narrabeen - Collaroy",1563,1661,545,102,18,9,3901,
"Terrey Hills - Duffys Forest",207,282,115,35,0,0,641,
"Camden - Ellis Lane",791,905,386,74,21,9,2183,
"Elderslie - Harrington Park",1321,1757,754,200,31,20,4078,
"Mount Annan - Currans Hill",2053,2461,936,239,76,18,5784,
"Bradbury - Wedderburn",1470,1264,565,201,69,44,3620,
"Campbelltown - Woodbine",1353,997,408,160,51,25,2998,
"Claymore - Eagle Vale - Raby",1575,1451,610,216,64,40,3959,
"Holsworthy Military Area",0,0,0,0,0,0,0,
"Ingleburn - Denham Court",1584,1403,503,147,53,20,3713,
"Leumeah - Minto Heights",1290,1046,411,157,44,22,2969,
"Macquarie Fields - Glenfield",1868,1761,563,209,63,21,4493,
"Minto - St Andrews",1589,1468,599,207,55,28,3947,
"Rosemeadow - Glen Alpine",1553,1393,637,238,79,33,3933,
"Bargo",357,351,164,62,16,3,963,
